,title,description,url,location
0,Потерял собаку ,Ничего не найденоУкажите другую породу,https://kinpet.ru/tambov/sobaki/poteryal-sobaku--64540/,Тамбов 
1,Пропала кошка ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-mos/koshki/propala-koshka-64531/,снт Дорожник 
2,Лайка кобель бегает 2 недели ,Ничего не найденоУкажите другую породу,https://kinpet.ru/drugie-mos/sobaki/layka-kobel-begaet-2-nedeli-64528/,д. Сокольники 
3,Ищу хозяина кота ,"Шоколадный питбуль, очень добрый. Привязал за ларьком у пятерочки где парк победы ( бывший 19 гастроном), отошёл в ларек за сигаретами, вышел а я его не было, сам найти не смог....",https://kinpet.ru/drugie-klu/koshki/ishchu-khozyaina-kota-64521/,СНТ Единство 
4,Пропал песик ,"В районе п. Софрино (Талицы), днп Зеленоградский пропала кошка. Обычная, короткошерстная, трехцветная.",https://kinpet.ru/sochi/sobaki/propal-pesik-64511/,Сочи 
5,Мальчик ,По СНТ Дмитровский район бегает лайка молодой кобель. Срочно ищем хозяина или кто приютит. ,https://kinpet.ru/moskva/sobaki/malchik-64508/,Москва 
6,Пропал Любимый кот ,"Две недели назад на дачу, в районе поста МЧС в Добром (пересечение варшавки и киевки) снт Единство, пришел кот. Крупный, черный, немного белого.Все повадки домашнего кота. Кастрированный.Очень добрый. Хозяева, если вы ищете его, звоните. Или может кто захочет забрать себе домой. Сами не можем, так как дома уже шестеро живут.",https://kinpet.ru/odintsovo/koshki/propal-lyubimyy-kot--64507/,Одинцово 
7,Пропала трëхцветная кошка в Глебучевом овраге ,Еще 2 фото,https://kinpet.ru/saratov/koshki/propala-tr-khtsvetnaya-koshka-v-glebuchevom-ovrage-64462/,Саратов 
8,ищу хозяина собаки ,Метис чем то похож на Джек расал окрас трех цветов белый чорный и рыжый,https://kinpet.ru/surgut/sobaki/ishchu-khozyaina-sobaki-64460/,Сургут 
9,"Пропал кот 11 лет, корниш-рекс. Вознаграждение нашедшему 10000р. ","Найден кабель,село ознобишено Подольск. Знает команды, домашний, ласковый,игривый. Хозяева отзовитесь.",https://kinpet.ru/drugie-mos/koshki/propal-kot-11-let-kornish-reks-voznagrazhdenie-nashedshemu-10000r-64459/,снт Родничок 
10,Девочка самоед ,"Кот Бося , обычная расцветка, коричневый в полосочку. На лапках , на момент пропажи были бинтики, после анализов, фиолетовый и жёлтый, мог снять зубами.Добрый кот. Срочно нужно лечение , тк у кота лейкоз.",https://kinpet.ru/aprelevka/sobaki/devochka-samoed--64445/,Апрелевка 
